id,sugar_level,calories,weight,fat,food_color
1656,30.429999999999993 gr,232 cal,440.33 gr,26 gr,Sunset Yellow
1657,133.73000000000002 gr,579 cal,1032.29 gr,31 gr,Sunset Yellow
1658,132.94 gr,444 cal,1925.92 gr,32 gr,Grass Green
1659,131.63 gr,558 cal,325.6 gr,34 gr,Grass Green
1660,145.81 gr,540 cal,1356.09 gr,23 gr,Green
1661,71.72 gr,309 cal,866.56 gr,12 gr,Sunset Red
1662,77.52 gr,589 cal,1360.76 gr,29 gr,Navy Blue
1663,107.2 gr,529 cal,344.14 gr,23 gr,Grass Green
1664,135.11 gr,353 cal,1844.09 gr,28 gr,Green
1665,88.22999999999999 gr,337 cal,1508.98 gr,12 gr,Lemon Yellow
1666,104.46000000000001 gr,359 cal,562.55 gr,22 gr,Coffee
1667,131.82 gr,304 cal,1521.18 gr,48 gr,Lemon Yellow
1668,75.42 gr,501 cal,453.02 gr,27 gr,Navy Blue
1669,133.97 gr,569 cal,1875.39 gr,31 gr,Coffee
1670,42.19 gr,364 cal,1.31 gr,25 gr,Sunset Yellow
1671,128.8 gr,572 cal,319.78 gr,41 gr,Black
1672,99.32 gr,298 cal,1604.0 gr,15 gr,Grass Green
1673,81.81 gr,452 cal,955.7 gr,23 gr,Sunset Red
1674,171.53 gr,402 cal,,32 gr,Sunset Yellow
1675,40.71000000000001 gr,404 cal,1105.04 gr,43 gr,Lemon Yellow
1676,115.24000000000001 gr,401 cal,1518.43 gr,6 gr,Grass Green
1677,111.80000000000001 gr,458 cal,259.96 gr,27 gr,Lemon Yellow
1678,104.13000000000001 gr,431 cal,1421.22 gr,38 gr,Green
1679,85.50999999999999 gr,448 cal,309.61 gr,29 gr,Sunset Red
1680,75.77 gr,426 cal,856.1 gr,48 gr,Sunset Yellow
1681,135.08 gr,317 cal,893.63 gr,32 gr,Black
1682,73.14 gr,429 cal,885.86 gr,23 gr,Sunset Red
1683,164.16 gr,386 cal,1892.25 gr,32 gr,Rose
1684,52.230000000000004 gr,322 cal,1930.4 gr,38 gr,Black
1685,87.67 gr,482 cal,1834.13 gr,27 gr,
1686,69.41 gr,432 cal,551.04 gr,27 gr,Purple
1687,164.45 gr,489 cal,1478.25 gr,28 gr,Black
1688,131.17000000000002 gr,503 cal,789.64 gr,31 gr,Black
1689,125.53 gr,457 cal,1993.47 gr,16 gr,Purple
1690,79.28 gr,611 cal,1831.16 gr,22 gr,Grass Green
1691,151.63 gr,637 cal,927.66 gr,34 gr,Purple
1692,131.08 gr,288 cal,456.26 gr,26 gr,Green
1693,47.14999999999999 gr,184 cal,868.8 gr,24 gr,Sunset Yellow
1694,33.75999999999999 gr,412 cal,1521.44 gr,23 gr,Coffee
1695,161.78 gr,,463.94 gr,25 gr,Coffee
1696,89.66 gr,212 cal,1196.77 gr,30 gr,Grass Green
1697,49.97999999999999 gr,374 cal,816.7 gr,27 gr,
1698,64.29 gr,358 cal,352.44 gr,39 gr,Green
1699,128.57 gr,235 cal,1255.38 gr,21 gr,Lemon Yellow
1700,50.17 gr,447 cal,431.44 gr,16 gr,Sunset Yellow
1701,79.45 gr,456 cal,1936.26 gr,26 gr,Coffee
1702,98.50999999999999 gr,467 cal,730.11 gr,35 gr,Purple
1703,96.81 gr,719 cal,1103.59 gr,14 gr,Lemon Yellow
1704,169.89 gr,565 cal,1561.6 gr,29 gr,Rose
1705,14.36999999999999 gr,192 cal,4.12 gr,21 gr,Navy Blue
1706,141.91 gr,754 cal,1130.05 gr,24 gr,Grass Green
1707,92.37000000000002 gr,324 cal,560.69 gr,28 gr,Green
1708,78.08000000000001 gr,190 cal,159.7 gr,31 gr,Navy Blue
1709,132.91 gr,718 cal,234.36 gr,30 gr,Black
1710,51.14 gr,222 cal,97.83 gr,31 gr,Lemon Yellow
1711,94.76 gr,170 cal,625.98 gr,4 gr,Purple
1712,121.74000000000001 gr,556 cal,1567.22 gr,20 gr,Green
1713,65.12 gr,102 cal,729.79 gr,8 gr,Purple
1714,8.659999999999997 gr,244 cal,405.45 gr,25 gr,Rose
1715,63.239999999999995 gr,390 cal,371.97 gr,28 gr,Coffee
1716,99.55 gr,545 cal,814.1 gr,23 gr,Sunset Red
1717,124.34 gr,333 cal,893.34 gr,40 gr,Sunset Yellow
1718,108.47 gr,657 cal,778.7 gr,17 gr,Lemon Yellow
1719,117.46000000000001 gr,494 cal,784.55 gr,34 gr,Grass Green
1720,92.74 gr,462 cal,433.28 gr,24 gr,Navy Blue
1721,85.61 gr,346 cal,1412.39 gr,33 gr,Navy Blue
1722,111.58000000000001 gr,,1193.83 gr,34 gr,Sunset Red
1723,75.77000000000001 gr,597 cal,642.55 gr,23 gr,Black
1724,77.49 gr,362 cal,801.58 gr,35 gr,Purple
1725,53.31999999999999 gr,85 cal,1646.04 gr,21 gr,Black
1726,118.25 gr,98 cal,1981.36 gr,35 gr,Purple
1727,101.22 gr,,1709.89 gr,15 gr,Green
1728,108.76000000000002 gr,161 cal,202.45 gr,34 gr,Coffee
1729,101.68 gr,258 cal,801.59 gr,31 gr,Black
1730,93.82000000000001 gr,543 cal,1474.9 gr,34 gr,Sunset Yellow
1731,127.88 gr,497 cal,1936.71 gr,44 gr,Green
1732,86.91000000000001 gr,406 cal,1635.36 gr,26 gr,Coffee
1733,147.55 gr,463 cal,1883.95 gr,19 gr,Green
1734,145.19 gr,513 cal,1593.65 gr,42 gr,Purple
1735,81.79 gr,28 cal,66.99 gr,18 gr,Purple
1736,87.43 gr,521 cal,966.74 gr,36 gr,Coffee
1737,45.63000000000001 gr,147 cal,,35 gr,Purple
1738,127.80000000000001 gr,521 cal,186.93 gr,14 gr,Green
1739,84.3 gr,412 cal,807.86 gr,32 gr,Coffee
1740,109.07000000000001 gr,56 cal,1297.91 gr,36 gr,Black
1741,75.98 gr,413 cal,316.71 gr,43 gr,Rose
1742,146.63 gr,304 cal,277.87 gr,33 gr,Rose
1743,67.81 gr,94 cal,1983.12 gr,18 gr,Sunset Yellow
1744,123.4 gr,346 cal,1097.86 gr,22 gr,Black
1745,123.05000000000001 gr,611 cal,1853.43 gr,23 gr,Black
1746,83.38 gr,87 cal,262.36 gr,31 gr,Sunset Red
1747,131.57 gr,733 cal,449.45 gr,29 gr,Sunset Red
1748,80.75 gr,357 cal,1422.0 gr,30 gr,Grass Green
1749,47.05999999999999 gr,476 cal,825.58 gr,29 gr,Lemon Yellow
1750,106.97000000000001 gr,12 cal,1425.58 gr,24 gr,Purple
1751,124.27 gr,320 cal,1969.71 gr,30 gr,Rose
1752,124.16 gr,587 cal,657.64 gr,24 gr,Grass Green
1753,91.67000000000002 gr,232 cal,1910.69 gr,20 gr,Coffee
1754,105.59 gr,194 cal,927.91 gr,14 gr,Coffee
1755,73.12 gr,594 cal,1299.99 gr,28 gr,Lemon Yellow
1756,124.22999999999999 gr,275 cal,,17 gr,Black
1757,58.83 gr,344 cal,253.19 gr,15 gr,Lemon Yellow
1758,102.96 gr,322 cal,357.88 gr,31 gr,Black
1759,117.09 gr,480 cal,195.57 gr,29 gr,Lemon Yellow
1760,99.31 gr,524 cal,1856.6 gr,38 gr,Grass Green
1761,83.86000000000001 gr,513 cal,912.71 gr,29 gr,Rose
1762,88.09 gr,310 cal,1485.61 gr,25 gr,Coffee
1763,86.28999999999999 gr,146 cal,1723.27 gr,32 gr,Green
1764,137.35 gr,449 cal,1428.27 gr,25 gr,Sunset Red
1765,165.36 gr,517 cal,1631.01 gr,19 gr,Sunset Red
1766,130.98 gr,530 cal,712.39 gr,19 gr,Purple
1767,81.38 gr,738 cal,417.15 gr,36 gr,Black
1768,75.81 gr,195 cal,1899.0 gr,18 gr,Green
1769,75.38 gr,467 cal,1748.0 gr,26 gr,Lemon Yellow
1770,102.24000000000001 gr,447 cal,328.74 gr,35 gr,Navy Blue
1771,114.57 gr,219 cal,1310.67 gr,40 gr,Purple
1772,24.63000000000001 gr,332 cal,25.18 gr,35 gr,Black
1773,112.55000000000001 gr,550 cal,1987.63 gr,30 gr,Sunset Yellow
1774,78.22000000000001 gr,423 cal,37.69 gr,3 gr,Sunset Yellow
1775,106.44000000000001 gr,494 cal,783.76 gr,15 gr,Coffee
1776,132.23000000000002 gr,455 cal,1031.43 gr,24 gr,Grass Green
1777,101.16 gr,769 cal,510.25 gr,26 gr,Lemon Yellow
1778,162.03 gr,561 cal,1435.37 gr,33 gr,Lemon Yellow
1779,134.17000000000002 gr,407 cal,304.77 gr,33 gr,Grass Green
1780,65.87 gr,199 cal,1298.11 gr,12 gr,Coffee
1781,53.53 gr,155 cal,239.27 gr,35 gr,Green
1782,96.82999999999998 gr,379 cal,54.2 gr,41 gr,Sunset Red
1783,124.86000000000001 gr,611 cal,1363.5 gr,31 gr,Green
1784,106.42 gr,453 cal,1545.89 gr,35 gr,Rose
1785,118.25999999999999 gr,120 cal,152.94 gr,30 gr,Black
1786,120.94 gr,644 cal,551.64 gr,46 gr,Navy Blue
1787,182.24 gr,534 cal,1726.05 gr,22 gr,Grass Green
1788,113.69 gr,54 cal,1795.69 gr,28 gr,Coffee
1789,82.28999999999999 gr,371 cal,1288.06 gr,27 gr,Grass Green
1790,128.20999999999998 gr,449 cal,924.7 gr,46 gr,Sunset Yellow
1791,176.35 gr,545 cal,497.4 gr,28 gr,Coffee
1792,71.07999999999998 gr,461 cal,665.0 gr,21 gr,Lemon Yellow
1793,69.04 gr,375 cal,827.6 gr,41 gr,Coffee
1794,103.5 gr,669 cal,1890.75 gr,15 gr,Coffee
1795,37.94 gr,335 cal,1863.8 gr,34 gr,Grass Green
1796,78.53999999999999 gr,144 cal,163.11 gr,24 gr,Sunset Yellow
1797,63.35 gr,54 cal,647.24 gr,30 gr,Black
1798,76.06 gr,43 cal,1953.7 gr,37 gr,Rose
1799,77.37 gr,759 cal,501.29 gr,47 gr,Rose
1800,,284 cal,323.67 gr,34 gr,Sunset Red
1801,119.65 gr,488 cal,1449.68 gr,44 gr,Black
1802,42.22 gr,97 cal,1466.43 gr,17 gr,Sunset Yellow
1803,130.69 gr,574 cal,1400.45 gr,37 gr,Coffee
1804,41.27999999999999 gr,315 cal,1802.88 gr,29 gr,Navy Blue
1805,47.3 gr,99 cal,1328.46 gr,19 gr,Rose
1806,140.78 gr,631 cal,737.2 gr,29 gr,Navy Blue
1807,101.62 gr,628 cal,248.92 gr,21 gr,Navy Blue
1808,103.62 gr,302 cal,1526.93 gr,35 gr,Sunset Red
1809,64.83 gr,477 cal,142.72 gr,29 gr,Black
1810,122.44 gr,525 cal,251.95 gr,26 gr,Navy Blue
1811,132.18 gr,540 cal,312.47 gr,45 gr,Coffee
1812,160.89 gr,621 cal,1407.84 gr,36 gr,Lemon Yellow
1813,139.76 gr,366 cal,310.99 gr,39 gr,Green
1814,103.68 gr,445 cal,1019.63 gr,47 gr,
1815,119.71000000000001 gr,500 cal,712.61 gr,34 gr,Navy Blue
1816,68.58 gr,493 cal,1970.82 gr,31 gr,Rose
1817,148.64999999999998 gr,473 cal,1949.44 gr,45 gr,Navy Blue
1818,132.62 gr,699 cal,1654.46 gr,35 gr,Sunset Yellow
1819,135.36 gr,489 cal,88.65 gr,22 gr,Rose
1820,113.44 gr,645 cal,672.88 gr,37 gr,Black
1821,135.51999999999998 gr,372 cal,1224.0 gr,36 gr,Purple
1822,144.57 gr,364 cal,1341.59 gr,40 gr,Purple
1823,171.67000000000002 gr,456 cal,1269.26 gr,27 gr,Green
1824,88.76999999999998 gr,234 cal,647.52 gr,2 gr,Purple
1825,47.88 gr,241 cal,742.96 gr,12 gr,Rose
1826,94.29000000000002 gr,64 cal,1452.32 gr,20 gr,Grass Green
1827,66.75 gr,106 cal,1276.78 gr,17 gr,Lemon Yellow
1828,70.16999999999999 gr,57 cal,1728.02 gr,38 gr,Lemon Yellow
1829,81.03 gr,439 cal,1505.64 gr,21 gr,Green
1830,133.49 gr,549 cal,137.92 gr,18 gr,
1831,21.03 gr,448 cal,1573.44 gr,32 gr,Green
1832,51.550000000000004 gr,525 cal,1298.97 gr,42 gr,Coffee
1833,180.3 gr,561 cal,1971.92 gr,44 gr,Purple
1834,128.32999999999998 gr,414 cal,1629.66 gr,38 gr,Black
1835,148.36 gr,498 cal,1900.57 gr,44 gr,Sunset Yellow
1836,75.77 gr,448 cal,158.53 gr,29 gr,Navy Blue
1837,70.92 gr,381 cal,226.0 gr,7 gr,Coffee
1838,104.75999999999999 gr,331 cal,1392.86 gr,28 gr,Black
1839,66.64999999999999 gr,109 cal,1351.33 gr,1 gr,Grass Green
1840,104.34 gr,585 cal,1342.14 gr,33 gr,Black
1841,58.519999999999996 gr,99 cal,489.72 gr,23 gr,Green
1842,103.23 gr,108 cal,1158.3 gr,32 gr,Sunset Red
1843,163.96 gr,389 cal,269.33 gr,27 gr,Rose
1844,133.85 gr,545 cal,1876.74 gr,33 gr,Sunset Red
1845,107.02000000000001 gr,630 cal,1039.96 gr,27 gr,Green
1846,54.63000000000001 gr,363 cal,1758.6 gr,30 gr,Lemon Yellow
1847,48.05999999999999 gr,173 cal,197.76 gr,29 gr,Navy Blue
1848,54.85 gr,235 cal,883.17 gr,20 gr,Sunset Yellow
1849,106.63 gr,34 cal,1578.61 gr,38 gr,Sunset Red
1850,67.91999999999999 gr,183 cal,288.54 gr,15 gr,Purple
1851,117.75999999999999 gr,459 cal,376.95 gr,27 gr,Rose
1852,76.93 gr,581 cal,1860.81 gr,23 gr,Grass Green
1853,74.06 gr,98 cal,1384.58 gr,17 gr,Coffee
1854,38.040000000000006 gr,530 cal,97.54 gr,25 gr,Rose
1855,106.68 gr,522 cal,790.13 gr,36 gr,Navy Blue
1856,92.24 gr,380 cal,42.67 gr,25 gr,Black
1857,148.89 gr,387 cal,1272.86 gr,29 gr,Purple
1858,139.28 gr,542 cal,1181.46 gr,39 gr,Coffee
1859,122.46000000000001 gr,530 cal,608.68 gr,29 gr,Sunset Red
1860,40.42999999999999 gr,179 cal,1158.0 gr,7 gr,Navy Blue
1861,113.47000000000001 gr,274 cal,1946.31 gr,9 gr,Green
1862,67.43 gr,92 cal,1888.79 gr,32 gr,Navy Blue
1863,102.6 gr,534 cal,1089.72 gr,32 gr,Navy Blue
1864,70.11 gr,251 cal,1361.18 gr,26 gr,Black
1865,118.11000000000001 gr,367 cal,1891.03 gr,24 gr,Sunset Yellow
1866,112.04 gr,740 cal,587.18 gr,29 gr,Black
1867,180.82 gr,476 cal,64.56 gr,32 gr,Green
1868,62.05 gr,544 cal,1057.45 gr,35 gr,Sunset Yellow
1869,31.89999999999999 gr,224 cal,1533.75 gr,33 gr,Grass Green
1870,87.74999999999999 gr,62 cal,1992.4 gr,19 gr,Black
1871,119.21000000000001 gr,382 cal,,37 gr,Rose
1872,89.91999999999999 gr,358 cal,759.92 gr,28 gr,Sunset Red
1873,36.540000000000006 gr,168 cal,1719.44 gr,27 gr,Navy Blue
1874,49.42 gr,340 cal,985.65 gr,21 gr,Sunset Yellow
1875,125.88000000000001 gr,505 cal,1006.96 gr,23 gr,Rose
1876,37.620000000000005 gr,85 cal,835.47 gr,31 gr,Navy Blue
1877,165.98 gr,671 cal,1341.04 gr,33 gr,Sunset Yellow
1878,131.01999999999998 gr,500 cal,49.57 gr,25 gr,Sunset Red
1879,157.67000000000002 gr,464 cal,437.85 gr,27 gr,Navy Blue
1880,126.87 gr,475 cal,1478.2 gr,25 gr,Lemon Yellow
1881,41.290000000000006 gr,126 cal,1666.09 gr,41 gr,Purple
1882,108.62 gr,451 cal,1906.11 gr,20 gr,Green
1883,159.15 gr,277 cal,597.24 gr,12 gr,Coffee
1884,163.76 gr,508 cal,428.09 gr,23 gr,Rose
1885,130.26 gr,343 cal,1181.78 gr,5 gr,Navy Blue
1886,32.72 gr,318 cal,1811.44 gr,27 gr,Grass Green
1887,33.5 gr,228 cal,1426.36 gr,18 gr,Black
1888,97.07000000000001 gr,534 cal,1397.18 gr,31 gr,Navy Blue
1889,99.04999999999998 gr,126 cal,312.04 gr,35 gr,Grass Green
1890,77.44 gr,477 cal,794.12 gr,31 gr,Sunset Red
1891,47.67 gr,297 cal,1005.81 gr,20 gr,Purple
1892,112.39 gr,729 cal,1929.18 gr,27 gr,Coffee
1893,100.6 gr,450 cal,,17 gr,Rose
1894,38.3 gr,423 cal,924.69 gr,19 gr,Grass Green
1895,147.91 gr,484 cal,1324.72 gr,35 gr,Rose
1896,93.96000000000001 gr,705 cal,1437.67 gr,23 gr,Coffee
1897,99.80000000000001 gr,413 cal,794.82 gr,19 gr,Coffee
1898,97.32999999999998 gr,415 cal,902.88 gr,17 gr,Rose
1899,106.83000000000001 gr,446 cal,1017.48 gr,26 gr,Green
1900,110.03 gr,86 cal,1771.02 gr,14 gr,Coffee
1901,84.81 gr,488 cal,162.64 gr,18 gr,Black
1902,98.87 gr,450 cal,1675.01 gr,38 gr,Purple
1903,134.38 gr,435 cal,1023.27 gr,48 gr,Rose
1904,114.24000000000001 gr,520 cal,193.54 gr,33 gr,Lemon Yellow
1905,78.74000000000001 gr,321 cal,1574.13 gr,39 gr,Lemon Yellow
1906,115.27 gr,405 cal,680.43 gr,32 gr,Coffee
1907,53.120000000000005 gr,431 cal,200.55 gr,18 gr,Navy Blue
1908,70.64 gr,361 cal,301.31 gr,28 gr,Rose
1909,91.92 gr,56 cal,1909.62 gr,31 gr,Grass Green
1910,109.92999999999999 gr,684 cal,298.05 gr,22 gr,Sunset Yellow
1911,108.31 gr,381 cal,57.27 gr,20 gr,Lemon Yellow
1912,120.02000000000001 gr,568 cal,696.99 gr,19 gr,Sunset Red
1913,177.37 gr,608 cal,954.6 gr,19 gr,Rose
1914,113.96 gr,708 cal,1297.63 gr,24 gr,Rose
1915,63.790000000000006 gr,321 cal,229.58 gr,19 gr,Coffee
1916,137.47 gr,222 cal,185.76 gr,45 gr,Lemon Yellow
1917,109.92999999999999 gr,583 cal,40.2 gr,42 gr,Sunset Red
1918,40.85999999999999 gr,178 cal,84.19 gr,14 gr,Sunset Yellow
1919,106.10000000000001 gr,515 cal,1812.91 gr,24 gr,Purple
1920,79.69 gr,91 cal,384.45 gr,41 gr,Grass Green
1921,102.18 gr,378 cal,351.15 gr,26 gr,Sunset Yellow
1922,102.45 gr,515 cal,227.07 gr,41 gr,Green
1923,95.33000000000001 gr,508 cal,1668.72 gr,,Black
1924,121.17 gr,317 cal,1625.99 gr,37 gr,Lemon Yellow
1925,90.81 gr,355 cal,557.87 gr,7 gr,Sunset Red
1926,168.52 gr,570 cal,438.64 gr,28 gr,Grass Green
1927,96.48 gr,688 cal,393.9 gr,41 gr,Green
1928,107.41999999999999 gr,604 cal,68.1 gr,21 gr,Black
1929,114.32 gr,487 cal,1684.39 gr,33 gr,Navy Blue
1930,124.62 gr,329 cal,1621.81 gr,33 gr,Sunset Red
1931,159.48 gr,501 cal,245.96 gr,19 gr,Black
1932,153.96 gr,729 cal,1899.21 gr,40 gr,Green
1933,92.14 gr,404 cal,738.24 gr,27 gr,Coffee
1934,109.33000000000001 gr,647 cal,1002.28 gr,25 gr,Grass Green
1935,15.990000000000009 gr,362 cal,434.35 gr,24 gr,Sunset Red
1936,125.36000000000001 gr,,499.18 gr,30 gr,Rose
1937,96.25 gr,552 cal,755.75 gr,16 gr,Grass Green
1938,76.29999999999998 gr,204 cal,1707.1 gr,22 gr,Green
1939,57.56 gr,212 cal,257.73 gr,20 gr,Sunset Red
1940,55.83999999999999 gr,170 cal,1517.06 gr,34 gr,Rose
1941,59.77000000000001 gr,196 cal,1650.13 gr,11 gr,Coffee
1942,125.44999999999999 gr,545 cal,1684.06 gr,28 gr,Sunset Red
1943,23.989999999999995 gr,117 cal,590.55 gr,7 gr,Black
1944,6.699999999999989 gr,337 cal,169.34 gr,13 gr,Lemon Yellow
1945,64.68 gr,353 cal,872.49 gr,19 gr,Navy Blue
1946,40.44000000000001 gr,47 cal,932.64 gr,15 gr,Grass Green
1947,70.45 gr,321 cal,1493.21 gr,28 gr,Black
1948,110.31 gr,511 cal,1775.17 gr,32 gr,Grass Green
1949,78.75 gr,605 cal,722.32 gr,46 gr,Rose
1950,90.39 gr,615 cal,649.73 gr,22 gr,Lemon Yellow
1951,40.42 gr,357 cal,297.86 gr,36 gr,Rose
1952,57.42 gr,486 cal,508.14 gr,16 gr,Sunset Red
1953,119.3 gr,515 cal,487.88 gr,24 gr,Purple
1954,81.91 gr,302 cal,176.74 gr,5 gr,Navy Blue
1955,121.27 gr,271 cal,1175.09 gr,27 gr,Lemon Yellow
1956,57.94999999999999 gr,197 cal,1040.2 gr,10 gr,Navy Blue
1957,45.370000000000005 gr,162 cal,245.26 gr,19 gr,Grass Green
1958,128.85 gr,687 cal,518.96 gr,33 gr,Green
1959,44.53 gr,342 cal,1299.1 gr,6 gr,Lemon Yellow
1960,94.0 gr,518 cal,966.2 gr,22 gr,Black
1961,93.91 gr,405 cal,1731.35 gr,23 gr,Grass Green
1962,110.53 gr,700 cal,133.47 gr,32 gr,Black
1963,148.42000000000002 gr,646 cal,1090.72 gr,21 gr,Sunset Red
1964,97.52 gr,447 cal,1544.41 gr,13 gr,Lemon Yellow
1965,74.11000000000001 gr,76 cal,1836.36 gr,14 gr,Sunset Yellow
1966,89.97 gr,315 cal,1453.39 gr,19 gr,Sunset Yellow
1967,30.540000000000006 gr,496 cal,1495.35 gr,34 gr,Lemon Yellow
1968,45.46 gr,310 cal,1842.26 gr,19 gr,Rose
1969,119.69999999999999 gr,420 cal,1970.32 gr,17 gr,Coffee
1970,150.54 gr,445 cal,849.44 gr,34 gr,Sunset Red
1971,110.46 gr,508 cal,1386.54 gr,16 gr,Rose
1972,131.62 gr,493 cal,1844.25 gr,25 gr,Lemon Yellow
1973,61.480000000000004 gr,27 cal,813.0 gr,32 gr,Sunset Yellow
1974,74.96 gr,502 cal,880.17 gr,17 gr,Grass Green
1975,83.33 gr,530 cal,1556.05 gr,31 gr,Sunset Red
1976,57.58999999999999 gr,61 cal,1287.56 gr,20 gr,Rose
1977,88.18 gr,112 cal,387.23 gr,17 gr,Black
1978,96.2 gr,346 cal,806.48 gr,16 gr,Purple
1979,77.81 gr,637 cal,104.68 gr,20 gr,Black
1980,173.76 gr,599 cal,1103.14 gr,40 gr,Rose
1981,100.42 gr,520 cal,159.64 gr,19 gr,Rose
1982,145.26999999999998 gr,650 cal,1520.7 gr,39 gr,Green
1983,75.94999999999999 gr,345 cal,1155.84 gr,21 gr,Coffee
1984,83.92000000000002 gr,398 cal,957.29 gr,14 gr,Navy Blue
1985,126.99000000000001 gr,452 cal,1336.6 gr,30 gr,Rose
1986,106.21000000000001 gr,297 cal,1606.47 gr,20 gr,Navy Blue
1987,86.30000000000001 gr,356 cal,1257.3 gr,18 gr,Sunset Yellow
1988,51.900000000000006 gr,172 cal,152.71 gr,,Coffee
1989,58.519999999999996 gr,543 cal,493.63 gr,22 gr,Navy Blue
1990,132.25 gr,447 cal,1711.82 gr,41 gr,Black
1991,70.16000000000001 gr,496 cal,685.31 gr,20 gr,Lemon Yellow
1992,91.74999999999999 gr,421 cal,1945.62 gr,9 gr,Navy Blue
1993,116.67999999999999 gr,103 cal,1669.68 gr,17 gr,Black
1994,55.27999999999999 gr,396 cal,175.94 gr,41 gr,Navy Blue
1995,119.14 gr,637 cal,1440.28 gr,21 gr,Sunset Yellow
1996,86.41999999999999 gr,547 cal,887.9 gr,31 gr,Coffee
1997,113.77 gr,576 cal,389.77 gr,27 gr,Rose
1998,67.81 gr,195 cal,1435.88 gr,29 gr,Black
1999,50.47 gr,188 cal,1215.47 gr,29 gr,Green
2000,117.89 gr,288 cal,544.41 gr,40 gr,Grass Green
2001,74.89000000000001 gr,140 cal,1249.42 gr,25 gr,Sunset Red
2002,156.82 gr,510 cal,1985.4 gr,24 gr,Rose
2003,142.78 gr,708 cal,904.53 gr,16 gr,Black
2004,105.11999999999999 gr,225 cal,981.49 gr,28 gr,Navy Blue
2005,67.5 gr,426 cal,1616.09 gr,3 gr,Lemon Yellow
2006,123.71000000000001 gr,341 cal,1757.75 gr,30 gr,Sunset Red
2007,107.85999999999999 gr,387 cal,8.46 gr,34 gr,Green
2008,87.91 gr,604 cal,859.45 gr,44 gr,Sunset Red
2009,107.64999999999999 gr,583 cal,1957.23 gr,33 gr,Grass Green
2010,30.040000000000006 gr,190 cal,1022.64 gr,18 gr,Sunset Yellow
2011,137.13 gr,565 cal,638.17 gr,29 gr,Black
2012,123.47 gr,607 cal,990.81 gr,31 gr,Black
2013,116.64 gr,503 cal,605.26 gr,33 gr,Grass Green
2014,164.05 gr,520 cal,77.03 gr,19 gr,Rose
2015,42.69 gr,236 cal,45.12 gr,23 gr,Rose
2016,92.91 gr,744 cal,1363.07 gr,18 gr,Grass Green
2017,74.49000000000001 gr,386 cal,243.31 gr,16 gr,Rose
2018,98.18999999999998 gr,164 cal,38.05 gr,40 gr,Sunset Red
2019,121.25999999999999 gr,621 cal,759.0 gr,33 gr,Navy Blue
2020,34.67 gr,172 cal,170.67 gr,34 gr,Sunset Yellow
2021,131.83 gr,685 cal,969.1 gr,44 gr,Coffee
2022,23.08 gr,259 cal,1093.15 gr,27 gr,Grass Green
2023,155.14 gr,507 cal,1170.11 gr,48 gr,Sunset Yellow
2024,105.12 gr,306 cal,114.67 gr,27 gr,Sunset Red
2025,27.11999999999999 gr,518 cal,1567.29 gr,35 gr,Grass Green
2026,121.03999999999999 gr,623 cal,337.63 gr,27 gr,Black
2027,65.58 gr,495 cal,589.52 gr,27 gr,Purple
2028,18.67 gr,272 cal,1590.58 gr,25 gr,Lemon Yellow
2029,76.94999999999999 gr,213 cal,1182.97 gr,35 gr,Green
2030,159.57 gr,395 cal,621.57 gr,18 gr,Navy Blue
2031,60.29 gr,511 cal,1977.04 gr,31 gr,Sunset Yellow
2032,52.120000000000005 gr,216 cal,1378.94 gr,11 gr,Coffee
2033,56.81999999999999 gr,200 cal,1832.02 gr,10 gr,Grass Green
2034,156.12 gr,406 cal,736.88 gr,29 gr,Rose
2035,115.10999999999999 gr,405 cal,1956.65 gr,26 gr,Black
2036,33.89 gr,254 cal,1552.11 gr,10 gr,Purple
2037,153.39 gr,333 cal,566.02 gr,18 gr,Grass Green
2038,146.03 gr,121 cal,658.25 gr,29 gr,Lemon Yellow
2039,107.11000000000001 gr,320 cal,1544.06 gr,21 gr,Coffee
2040,108.86 gr,206 cal,1888.19 gr,37 gr,Grass Green
2041,95.47999999999999 gr,297 cal,385.67 gr,36 gr,Navy Blue
2042,92.34 gr,237 cal,1681.49 gr,16 gr,Black
2043,159.68 gr,499 cal,341.21 gr,32 gr,Coffee
2044,116.84 gr,195 cal,358.12 gr,25 gr,Lemon Yellow
2045,41.97999999999999 gr,262 cal,844.45 gr,19 gr,Sunset Yellow
2046,124.18 gr,641 cal,,36 gr,Sunset Red
2047,54.69 gr,352 cal,273.67 gr,25 gr,Black
2048,92.50000000000001 gr,292 cal,479.83 gr,31 gr,Coffee
2049,76.08000000000001 gr,173 cal,1354.12 gr,26 gr,Navy Blue
2050,101.24000000000001 gr,637 cal,201.69 gr,23 gr,Sunset Yellow
2051,125.27000000000001 gr,537 cal,1299.96 gr,22 gr,Black
2052,98.53999999999999 gr,467 cal,1771.34 gr,12 gr,Green
2053,93.6 gr,413 cal,994.15 gr,35 gr,Lemon Yellow
2054,117.67 gr,303 cal,1441.47 gr,17 gr,Sunset Red
2055,23.769999999999996 gr,316 cal,926.95 gr,12 gr,Sunset Red
2056,103.11000000000001 gr,611 cal,77.32 gr,16 gr,Coffee
2057,105.09 gr,446 cal,1473.49 gr,24 gr,Coffee
2058,117.17999999999999 gr,139 cal,228.99 gr,16 gr,Green
2059,85.92 gr,204 cal,957.83 gr,39 gr,Grass Green
2060,99.36 gr,596 cal,1818.2 gr,41 gr,Black
